name,longitude,latitude,category,weather_suitability,description
Steg an der Marienklause,11.5502469,48.092589,viewpoint,sunny|cloudy,
Franziskaner Garten,11.6707224,48.1093154,restaurant,any,
Bavaria,11.5459393,48.1306873,viewpoint,sunny|cloudy,
Ristorante Centro Moda,11.5813153,48.1891617,restaurant,any,
L'angolo,11.5839973,48.1870892,restaurant,any,
Tai China Imbiss,11.5845779,48.1816244,restaurant,any,
Ratskeller,11.5760552,48.1373943,restaurant,any,
Augustiner Bräustuben,11.5456469,48.1392055,restaurant,any,
Peaches,11.5349382,48.1469522,restaurant,any,
Gerners,11.5265046,48.1685597,restaurant,any,
